order,id,parent,beginLine,beginColumn,endLine,endColumn,fullPath,CCid
3,ExpressionValue.java,database,0,0,0,0,/src/smallsql/database/ExpressionValue.java,-1
3,SSResultSet.java,database,0,0,0,0,/src/smallsql/database/SSResultSet.java,-1
4,79,TestOperatoren.java,79,8,79,86,/src/smallsql/junit/TestOperatoren.java,82
4,292,BenchTest.java,292,12,297,49,/src/smallsql/junit/BenchTest.java,75
4,831,SSDatabaseMetaData.java,831,11,831,354,/src/smallsql/database/SSDatabaseMetaData.java,54
2,database,smallsql,0,0,0,0,/src/smallsql/database,-1
4,726,BenchTest.java,726,8,730,44,/src/smallsql/junit/BenchTest.java,75
4,210,TestDBMetaData.java,210,17,210,332,/src/smallsql/junit/TestDBMetaData.java,54
4,196,ExpressionValue.java,196,7,196,81,/src/smallsql/database/ExpressionValue.java,0
4,218,Utils.java,218,33,219,66,/src/smallsql/database/Utils.java,4
4,160,TestThreads.java,160,12,164,13,/src/smallsql/junit/TestThreads.java,8
3,TestThreads.java,junit,0,0,0,0,/src/smallsql/junit/TestThreads.java,-1
4,77,TestAlterTable2.java,77,8,77,96,/src/smallsql/junit/TestAlterTable2.java,39
3,SSStatement.java,database,0,0,0,0,/src/smallsql/database/SSStatement.java,-1
4,503,MutableNumeric.java,503,16,504,80,/src/smallsql/database/MutableNumeric.java,36
4,117,TestExceptionMethods.java,117,12,122,13,/src/smallsql/junit/TestExceptionMethods.java,43
3,ExpressionFunctionAbs.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionAbs.java,-1
4,93,TestDBMetaData.java,93,8,93,124,/src/smallsql/junit/TestDBMetaData.java,21
3,TestLanguage.java,junit,0,0,0,0,/src/smallsql/junit/TestLanguage.java,-1
4,104,ExpressionFunctionAbs.java,104,4,108,5,/src/smallsql/database/ExpressionFunctionAbs.java,23
4,105,TableView.java,105,21,113,3,/src/smallsql/database/TableView.java,28
3,SSConnection.java,database,0,0,0,0,/src/smallsql/database/SSConnection.java,-1
4,234,TestDBMetaData.java,234,8,234,239,/src/smallsql/junit/TestDBMetaData.java,47
4,789,SSDatabaseMetaData.java,789,3,789,141,/src/smallsql/database/SSDatabaseMetaData.java,87
4,81,TestJoins.java,81,8,81,86,/src/smallsql/junit/TestJoins.java,11
4,224,ExpressionValue.java,224,7,224,89,/src/smallsql/database/ExpressionValue.java,34
4,352,SQLParser.java,352,5,357,6,/src/smallsql/database/SQLParser.java,77
